cooled,middle,measure,1mmAbove,1mmbelov
1123.1715440035996,1123.156258491015,1123.1521996095948,1123.1523357886495,1123.1520645499836
1123.1680336343816,1123.1552387356057,1123.1518412063026,1123.1519551964102,1123.1517281532372
1123.1644786373465,1123.1542060159027,1123.1514782465795,1123.151569765648,1123.151387479832
1123.1608895761842,1123.153163400637,1123.1511118089609,1123.1511806416727,1123.1510435420803
1123.1572742882288,1123.152113166539,1123.1507426936273,1123.1507886742036,1123.1506970910293
1123.1536415154953,1123.1510578531472,1123.1503717931248,1123.1503948110444,1123.1503489644217
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.1463575522175,1123.1489418760257,1123.1496281116902,1123.1496050878777,1123.1496509462381
1123.1427247806032,1123.147886562959,1123.1492572113016,1123.14921122484,1123.1493028197378
1123.1391094945127,1123.146836329403,1123.1488880961588,1123.148819257573,1123.1489563688656
1123.1355195212086,1123.145793449162,1123.148521565412,1123.1484300347038,1123.1486123437037
1123.131965442285,1123.1447609961685,1123.1481586994266,1123.148044703483,1123.1482717582805
1123.1284550771704,1123.143741241951,1123.1478002965532,1123.1476641116885,1123.1479353619275
1123.1249971678812,1123.142736726049,1123.1474472493394,1123.1472892071247,1123.1476039923875
1123.1216004564324,1123.1417499879997,1123.1471004503303,1123.1469209375964,1123.1472784874027
1123.118272842834,1123.1407833227413,1123.1467607061059,1123.1465601596178,1123.146959604027
1123.1150247743774,1123.1398397651915,1123.1464290833178,1123.146208005878,1123.1466483434176
1123.1118641320475,1123.1389216047608,1123.1461063866027,1123.1458653308298,1123.1463454608065
1123.1087988863635,1123.1380311568696,1123.145793429738,1123.1455329986313,1123.146051720003
1123.1058393503115,1123.1371714174204,1123.1454912656643,1123.1452121274115,1123.1457681092957
1123.1029934686712,1123.136344694356,1123.1452007055307,1123.1449035785383,1123.1454953900275
1123.100269983459,1123.1355535272155,1123.1449226418842,1123.1446082998166,1123.1452343999417
1123.0976776366897,1123.1348004555364,1123.1446579672706,1123.1443272390504,1123.1449859767806
1123.0952245611647,1123.1340878418819,1123.1444075120364,1123.1440612779934,1123.1447508999056
1123.092920756499,1123.1334185911212,1123.1441722971274,1123.1438115007984,1123.144530127575
1123.0907743185621,1123.1327950550883,1123.1439531491192,1123.143578785215,1123.1443244356115
1123.0887935043884,1123.1322196324352,1123.1437509110422,1123.1433640264659,1123.1441346152815
1123.0869880718408,1123.1316951578021,1123.1435665791587,1123.143168282493,1123.143961601676
1123.0853662343077,1123.131224017163,1123.143400992044,1123.1429924437878,1123.1438061818797
1123.083936733805,1123.1308087500558,1123.1432550422437,1123.1428374581542,1123.143669193635
1123.0827083123486,1123.1304518960194,1123.1431296223047,1123.142704273397,1123.1435514746845
1123.0816894787872,1123.1301559268575,1123.1430256009667,1123.14259381204,1123.1434538404264
1123.080889498545,1123.1299235341576,1123.1429439242158,1123.1425070786358,1123.1433771787606
1123.0803168256346,1123.1297571737946,1123.1428854551937,1123.142444989764,1123.1433222998317
1123.0799801468606,1123.1296593692675,1123.1428510808091,1123.1424084872422,1123.1432900360903
